number,card1,text1,card2,text2,card3,text3,card4,text4,card5,text5,question,correctChoice,mathcodeCorrect,altChoice1,mathcodeAlt1,altChoice2,mathcodeAlt2,altChoice3,mathcodeAlt3
10,5-heart.png,5 of hearts,4-diamond.png,4 of diamonds,3-spade.png,3 of spades,2-diamond.png,2 of diamonds,a-club.png,Ace of clubs,How many ways can you get a straight?,straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),wrongChoice8,\(\binom{13}{5}\binom{4}{1}^5\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\)
11,10-spade.png,10 of spades,9-diamond.png,9 of diamonds,8-heart.png,8 of hearts,7-club.png,7 of clubs,6-spade.png,6 of spades,How many ways can you get a straight?,straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),wrongChoice8,\(\binom{13}{5}\binom{4}{1}^5\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\)
12,k-club.png,King of clubs,10-club.png,10 of clubs,4-club.png,4 of clubs,2-club.png,2 of clubs,a-club.png,Ace of clubs,How many ways can you get a flush?,flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice10,\(\binom{13}{1}^5\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\)
13,q-heart.png,Queen of hearts,j-heart.png,Jack of hearts,4-heart.png,4 of hearts,3-heart.png,3 of hearts,2-heart.png,2 of hearts,How many ways can you get a flush?,flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice10,\(\binom{13}{1}^5\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\)
14,7-spade.png,7 of spades,6-spade.png,6 of spades,5-spade.png,5 of spades,4-spade.png,4 of spades,a-spade.png,Ace of spades,How many ways can you get a flush?,flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice10,\(\binom{13}{1}^5\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\)
15,q-diamond.png,Queen of diamonds,q-heart.png,Queen of hearts,q-club.png,Queen of clubs,j-spade.png,Jack of spades,j-diamond.png,Jack of diamonds,How many ways can you get a full house?,fullHouse,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{1}\binom{4}{2}\),wrongChoice11,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{2}\),wrongChoice12,\(\binom{13}{3}\binom{4}{1}^3\times\binom{12}{1}\binom{4}{1}^2\),wrongChoice13,\(\binom{13}{3}\binom{4}{1}\times\binom{12}{1}\binom{4}{2}\)
16,4-diamond.png,4 of diamonds,4-heart.png,4 of hearts,4-spade.png,4 of spades,a-club.png,Ace of clubs,a-heart.png,Ace of hearts,How many ways can you get a full house?,fullHouse,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{1}\binom{4}{2}\),wrongChoice11,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{2}\),wrongChoice12,\(\binom{13}{3}\binom{4}{1}^3\times\binom{12}{1}\binom{4}{1}^2\),wrongChoice13,\(\binom{13}{3}\binom{4}{1}\times\binom{12}{1}\binom{4}{2}\)
17,a-spade.png,Ace of spades,a-diamond.png,Ace of diamonds,a-club.png,Ace of clubs,5-spade.png,5 of spades,5-heart.png,5 of hearts,How many ways can you get a full house?,fullHouse,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{1}\binom{4}{2}\),wrongChoice11,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{2}\),wrongChoice12,\(\binom{13}{3}\binom{4}{1}^3\times\binom{12}{1}\binom{4}{1}^2\),wrongChoice13,\(\binom{13}{3}\binom{4}{1}\times\binom{12}{1}\binom{4}{2}\)
18,4-club.png,4 of clubs,4-diamond.png,4 of diamonds,4-spade.png,4 of spades,4-heart.png,4 of hearts,9-spade.png,9 of spades,How many ways can you get a 4 of a kind?,fourKind,\(\binom{13}{1}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice14,\(\binom{13}{1}^4\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice15,\(\binom{13}{4}\binom{4}{1}^4\times\binom{12}{1}\binom{4}{1}\),wrongChoice16,\(\binom{13}{4}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\)
19,a-spade.png,Ace of spades,a-diamond.png,Ace of diamonds,a-club.png,Ace of clubs,a-heart.png,Ace of hearts,5-diamond.png,5 of diamonds,How many ways can you get a 4 of a kind?,fourKind,\(\binom{13}{1}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice14,\(\binom{13}{1}^4\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice15,\(\binom{13}{4}\binom{4}{1}^4\times\binom{12}{1}\binom{4}{1}\),wrongChoice16,\(\binom{13}{4}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\)
20,q-spade.png,Queen of spades,q-heart.png,Queen of hearts,q-diamond.png,9 of diamonds,q-club.png,Queen of clubs,j-heart.png,Jack of hearts,How many ways can you get a 4 of a kind?,fourKind,\(\binom{13}{1}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice14,\(\binom{13}{1}^4\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice15,\(\binom{13}{4}\binom{4}{1}^4\times\binom{12}{1}\binom{4}{1}\),wrongChoice16,\(\binom{13}{4}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\)
21,j-heart.png,Jack of hearts,10-heart.png,10 of hearts,9-heart.png,9 of hearts,8-heart.png,8 of hearts,7-heart.png,7 of hearts,How many ways can you get a straight flush?,straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\)
22,7-club.png,7 of clubs,6-club.png,6 of clubs,5-club.png,5 of clubs,4-club.png,4 of clubs,3-club.png,3 of clubs,How many ways can you get a straight flush?,straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\)
23,5-diamond.png,5 of diamonds,4-diamond.png,4 of diamonds,3-diamond.png,3 of diamonds,2-diamond.png,2 of diamonds,a-diamond.png,Ace of diamonds,How many ways can you get a straight flush?,straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\)
24,a-diamond.png,Ace of diamonds,k-diamond.png,King of diamonds,q-diamond.png,Queen of diamonds,j-diamond.png,Jack of diamonds,10-diamond.png,10 of diamonds,How many ways can you get a royal flush?,royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),wrongChoice1,\(\binom{10}{1}\times\binom{4}{1}\),straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),wrongChoice2,\(\binom{10}{1}^5\times\binom{4}{1}\)
25,a-club.png,Ace of clubs,k-club.png,King of clubs,q-club.png,Queen of clubs,j-club.png,Jack of clubs,10-club.png,10 of clubs,How many ways can you get a royal flush?,royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),wrongChoice1,\(\binom{10}{1}\times\binom{4}{1}\),straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),wrongChoice2,\(\binom{10}{1}^5\times\binom{4}{1}\)
26,a-heart.png,Ace of hearts,k-heart.png,King of hearts,q-heart.png,Queen of hearts,j-heart.png,Jack of hearts,10-heart.png,10 of hearts,How many ways can you get a royal flush?,royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),wrongChoice1,\(\binom{10}{1}\times\binom{4}{1}\),straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),wrongChoice2,\(\binom{10}{1}^5\times\binom{4}{1}\)
